10,35
20,53
30,66
40,100
50,122
60,133
70,168
80,200
90,212
100,230
110,243
120,257
130,279
140,297
150,318
160,339
170,346
180,364
190,378
200,385
210,407
220,435
230,463
240,473
250,486
260,499
270,527
280,539
290,553
300,575
310,591
320,613
330,633
340,647
350,661
360,667
370,681
380,695
390,719
400,735
410,745
420,753
430,772
440,781
450,799
460,824
470,843
480,865
490,883
500,898
510,926
520,946
530,956
540,983
550,992
560,1009
570,1026
580,1051
590,1079
600,1087
610,1113
620,1134
630,1164
640,1181
650,1200
660,1210
670,1218
680,1231
690,1246
700,1268
710,1296
720,1308
730,1324
740,1354
750,1374
760,1413
770,1442
780,1469
790,1482
800,1503
810,1515
820,1544
830,1564
840,1587
850,1612
860,1641
870,1680
880,1703
890,1722
900,1747
910,1756
920,1777
930,1818
940,1841
950,1856
960,1876
970,1896
980,1924
990,1940
1000,1960
